Date,Stock,Open,High,Low,Close,Volume,Market_Status
06-05-2023,AAPL,203.67,205.47,202.6,204.27,4447922,<NULL>
07-05-2023,AAPL,199.2,200.17,197.96,200.06,1141142,??Unknown??
08-05-2023,AAPL,199.95,201.73,199.44,200.28,737902,<NULL>
09-05-2023,AAPL,197.25,197.81,196.01,197.05,2660231,Err#404
10-05-2023,AAPL,203.23,203.81,201.25,203.61,2094441,Missing!
11-05-2023,AAPL,202.24,203.68,201.33,201.2,982450,Corrupt$
12-05-2023,AAPL,200.85,201.44,199.76,200.92,2398238,N/A
13-05-2023,AAPL,202.36,203.34,200.83,202.12,2019598,Valid
14-05-2023,AAPL,197.17,198.68,195.45,196.78,2709485,Err#404
15-05-2023,AAPL,201.65,202.65,200.52,199.92,3159232,N/A
16-05-2023,AAPL,205.42,206.19,204.45,204.39,545807,Corrupt$
17-05-2023,AAPL,203.82,204.74,201.91,203.33,1935986,N/A
18-05-2023,AAPL,205.6,206.78,204.08,206.49,1160501,??Unknown??
19-05-2023,AAPL,203.22,204.44,202.55,203.51,2058274,Valid
20-05-2023,AAPL,201.92,203.6,201.32,202.86,1147272,Err#404
21-05-2023,AAPL,198.88,200.51,197.66,200.13,3684074,Missing!
22-05-2023,AAPL,196.31,197.5,195.48,196.64,3438287,<NULL>
23-05-2023,AAPL,199.77,201.54,198.89,199.91,4264993,Corrupt$
24-05-2023,AAPL,194.52,195.19,192.7,,809963,Valid
25-05-2023,AAPL,200.08,200.96,199.44,202.06,4591701,Corrupt$
26-05-2023,AAPL,198.04,199.78,196.46,196.62,1683493,<NULL>
27-05-2023,AAPL,200.2,201.26,199.29,200.32,1923271,N/A
28-05-2023,AAPL,197.9,199.87,196.26,198.73,2207229,Corrupt$
29-05-2023,AAPL,198.82,200.02,197.24,199.67,4550177,Corrupt$
30-05-2023,AAPL,194.73,196.42,194.22,,3240936,N/A
31-05-2023,AAPL,197.63,198.73,196.36,197.21,2051726,N/A
01-06-2023,AAPL,196.3,197.44,195.59,195.5,3006976,<NULL>
02-06-2023,AAPL,194.6,195.67,192.8,192.62,4891649,Valid
03-06-2023,AAPL,193.54,195.12,191.73,193.67,3400203,Err#404
04-06-2023,AAPL,192.98,194.3,191.85,192.26,2150870,N/A
05-06-2023,AAPL,197.25,199.16,196.08,198.75,4120597,Valid
06-06-2023,AAPL,199.93,200.81,198.98,200.55,1308062,<NULL>
07-06-2023,AAPL,192.74,193.39,191.16,192.78,3489159,Corrupt$
08-06-2023,AAPL,192.3,193.39,191.26,191.83,1167538,Corrupt$
09-06-2023,AAPL,196.43,197.86,195.53,196.55,2513338,Missing!
10-06-2023,AAPL,193.76,195.56,192.62,193.51,3578378,??Unknown??
11-06-2023,AAPL,194.48,195.5,193.84,194.55,2562624,N/A
12-06-2023,AAPL,194.29,195.77,192.67,,2447175,<NULL>
13-06-2023,AAPL,194.27,195.3,193.75,193.21,4761663,Valid
14-06-2023,AAPL,194.25,195.68,192.78,194.08,2800612,Missing!
15-06-2023,AAPL,195.61,197.44,194.84,196.32,4510768,Valid
16-06-2023,AAPL,193.68,194.53,192.84,193.28,2542749,Err#404
17-06-2023,AAPL,189.44,190.55,187.99,191.02,1825831,Missing!
18-06-2023,AAPL,195.82,197.81,193.83,196.5,4980609,<NULL>
19-06-2023,AAPL,197.68,199.49,196.02,196.96,1405352,Valid
20-06-2023,AAPL,189.48,190.83,188.65,189.69,1391255,N/A
21-06-2023,AAPL,192.61,193.88,191.85,191.9,2460022,Valid
22-06-2023,AAPL,197.11,198.03,195.31,196.31,3776194,??Unknown??
23-06-2023,AAPL,197.59,198.86,196.42,197.45,2778598,Corrupt$
24-06-2023,AAPL,194.76,196.53,194.05,196.02,2381397,Corrupt$
25-06-2023,AAPL,192.79,194.32,191,193.54,4411251,Missing!
26-06-2023,AAPL,198.17,199.1,196.44,198.14,2180664,Valid
27-06-2023,AAPL,195.65,196.45,193.67,196.43,4046434,Valid
28-06-2023,AAPL,196.43,197.32,194.56,196.69,2978843,Valid
29-06-2023,AAPL,196.78,197.54,195,,1262557,Valid
30-06-2023,AAPL,196.59,197.23,196.01,196.44,4730061,??Unknown??
01-07-2023,AAPL,198.44,199.57,197.79,198.37,3219713,N/A
02-07-2023,AAPL,197.21,197.88,195.86,197.97,4646477,??Unknown??
03-07-2023,AAPL,193,193.76,191.7,192.44,1082933,<NULL>
04-07-2023,AAPL,198.23,199.55,197.04,,821199,<NULL>
05-07-2023,AAPL,194.82,195.56,193.72,194.77,1426502,??Unknown??
06-07-2023,AAPL,192.11,192.71,190.96,191.47,4329994,??Unknown??
07-07-2023,AAPL,194.9,195.87,193.54,194.57,1911746,Corrupt$
08-07-2023,AAPL,197.74,198.57,197.24,197.66,2929488,<NULL>
09-07-2023,AAPL,192.59,193.86,191.7,192.21,529092,??Unknown??
10-07-2023,AAPL,197.93,198.58,196.65,198.89,1157191,Valid
11-07-2023,AAPL,197.77,199.4,196.19,199.18,2887807,??Unknown??
12-07-2023,AAPL,201,202.86,200.24,201.86,1383435,Valid
13-07-2023,AAPL,198.16,199.77,196.84,196.39,4581534,Missing!
14-07-2023,AAPL,196.37,197.67,194.8,195.73,2390576,<NULL>
15-07-2023,AAPL,198.37,200.16,197.2,198.19,4009934,N/A
16-07-2023,AAPL,196.19,197.73,195.65,,3959379,Corrupt$
17-07-2023,AAPL,195.68,196.2,194.51,194.81,707580,N/A
18-07-2023,AAPL,200.11,201.2,199.17,199.92,1269032,Missing!
19-07-2023,AAPL,195.04,196.82,193.14,194.59,2172992,N/A
20-07-2023,AAPL,191.63,192.65,190.94,,4272380,Corrupt$
21-07-2023,AAPL,199.09,199.64,197.61,197.71,4858548,Valid
22-07-2023,AAPL,196.37,197.99,195.79,195.91,976857,Missing!
23-07-2023,AAPL,198.07,199.77,196.9,198.22,2160100,Missing!
24-07-2023,AAPL,198.7,199.44,197.37,198.71,511017,Valid
25-07-2023,AAPL,197.01,198.31,196.06,,4431895,Valid
26-07-2023,AAPL,198.63,199.42,197.45,199.02,3600786,Corrupt$
27-07-2023,AAPL,196.27,197.85,195.52,195.86,3151788,<NULL>
28-07-2023,AAPL,200.67,201.58,199.72,200.79,4055392,??Unknown??
29-07-2023,AAPL,198.32,199.29,196.89,197.52,2868787,<NULL>
30-07-2023,AAPL,200.35,202.11,199.39,200.08,709720,Err#404
31-07-2023,AAPL,199.5,200.72,197.65,198.45,2718222,??Unknown??
01-08-2023,AAPL,199.74,201.24,198.3,200.81,4490919,<NULL>
02-08-2023,AAPL,201.7,202.8,200.54,201.43,3515624,??Unknown??
03-08-2023,AAPL,199.16,200.1,198.6,200.22,4637192,N/A
04-08-2023,AAPL,197.56,199,196.31,197.87,2632162,Err#404
05-08-2023,AAPL,199.95,200.68,198.31,199.07,4617386,Valid
06-08-2023,AAPL,198.87,199.93,197.98,199.13,2195625,??Unknown??
07-08-2023,AAPL,197.25,198.06,195.54,198.06,2462160,<NULL>
08-08-2023,AAPL,196.01,197.56,195.13,195.93,2234872,Corrupt$
09-08-2023,AAPL,197.23,199.15,195.49,197.3,2151722,??Unknown??
10-08-2023,AAPL,199.96,201.95,199.33,199.41,4731797,Valid
11-08-2023,AAPL,199.69,200.87,197.89,199.72,4337478,<NULL>
12-08-2023,AAPL,195.66,196.54,194.42,,4524537,??Unknown??
13-08-2023,AAPL,198.4,199.57,197.46,197.83,3280877,Missing!
14-08-2023,AAPL,201.53,203.3,200.63,200.45,3120390,N/A
15-08-2023,AAPL,198.49,199.3,197.34,199.78,3531863,N/A
16-08-2023,AAPL,201.33,203.26,199.34,201.94,1650311,??Unknown??
17-08-2023,AAPL,196.27,197.29,195.44,195.73,2095776,N/A
18-08-2023,AAPL,194.06,196.04,193.4,194.28,2568535,Corrupt$
19-08-2023,AAPL,199.46,201.22,198.08,197.98,3617173,Err#404
20-08-2023,AAPL,198.82,200.53,197.59,196.84,3744811,??Unknown??
21-08-2023,AAPL,190.53,191.51,189.25,191.62,3533932,Corrupt$
22-08-2023,AAPL,195,195.51,193.5,195.23,1121747,Missing!
23-08-2023,AAPL,195.28,196.36,194.38,195.24,2995902,Corrupt$
24-08-2023,AAPL,192.44,193.39,190.58,192.67,3344517,Corrupt$
25-08-2023,AAPL,194.34,194.9,193.19,197.57,1781258,Missing!
26-08-2023,AAPL,197.15,198.41,196.46,198.02,4923475,Valid
27-08-2023,AAPL,195.32,196.43,193.71,194.28,4019567,??Unknown??
28-08-2023,AAPL,196.16,197.61,194.69,194.48,4861862,??Unknown??
29-08-2023,AAPL,192.6,194.03,191.62,193.65,1483061,??Unknown??
30-08-2023,AAPL,199.03,199.72,197.6,199.89,796412,Err#404
31-08-2023,AAPL,198.17,200.13,197.34,198.74,3071703,Corrupt$
01-09-2023,AAPL,190.14,190.92,188.97,189.32,2885632,??Unknown??
02-09-2023,AAPL,192.28,193.45,190.43,192.64,3387225,N/A
03-09-2023,AAPL,196.45,197.69,195.75,195.73,3732860,Valid
04-09-2023,AAPL,198.06,199.78,196.98,198.73,3195563,Missing!
05-09-2023,AAPL,197.52,198.17,195.79,198.5,1998118,Missing!
06-09-2023,AAPL,196.32,197.46,194.36,195.78,2300831,Err#404
07-09-2023,AAPL,194.01,195.46,192.83,195.14,2094362,<NULL>
08-09-2023,AAPL,197.96,198.79,196.7,198.08,4240214,Missing!
09-09-2023,AAPL,194.2,195.64,192.84,,2568710,Valid
10-09-2023,AAPL,197.46,199.34,195.56,196.15,4146313,<NULL>
11-09-2023,AAPL,195.44,197.43,193.65,195.67,1507705,Corrupt$
12-09-2023,AAPL,194.36,194.91,193.61,193.69,3282540,Missing!
13-09-2023,AAPL,200.4,201.25,199.24,200.87,816790,<NULL>
14-09-2023,AAPL,199.65,200.62,198.46,201.12,2416195,<NULL>
15-09-2023,AAPL,197.45,198.54,195.76,197.74,4047480,Missing!
16-09-2023,AAPL,199.42,200.28,198.01,198.51,4287415,N/A
17-09-2023,AAPL,192.82,193.63,191.34,193.45,545712,Corrupt$
18-09-2023,AAPL,198.75,200.69,196.76,199.16,2996641,??Unknown??
19-09-2023,AAPL,195.59,197.47,194.98,197.65,2722494,Valid
20-09-2023,AAPL,194.73,195.3,193.89,194.98,2164092,Missing!
21-09-2023,AAPL,201.59,202.6,200.48,201,987707,N/A
22-09-2023,AAPL,202.91,204.01,201.88,203.68,592091,Valid
23-09-2023,AAPL,198.67,199.53,198.14,198.54,1393150,<NULL>
24-09-2023,AAPL,198.86,200.31,198.23,198.94,1035827,Err#404
25-09-2023,AAPL,201.07,202.53,199.55,200.15,1432196,N/A
26-09-2023,AAPL,196.18,197.96,194.36,196.06,2549736,<NULL>
27-09-2023,AAPL,196.96,198.57,195.68,196.99,4440063,Err#404
28-09-2023,AAPL,198.02,199.34,196.71,197.9,921743,Missing!
29-09-2023,AAPL,198.75,200.23,197.87,198.16,2063482,N/A
30-09-2023,AAPL,197.65,198.56,196,197.94,2130872,??Unknown??
01-10-2023,AAPL,198.75,200.14,197.12,197.83,2025068,<NULL>
02-10-2023,AAPL,201.23,202.46,199.85,200.07,2664452,Valid
03-10-2023,AAPL,201.35,202.05,200.53,202.06,4634777,Valid
04-10-2023,AAPL,197.67,198.54,197.03,198.29,3837013,<NULL>
05-10-2023,AAPL,195.55,196.48,194.95,194.24,4474532,<NULL>
06-10-2023,AAPL,198.01,199.9,196.62,196.18,3744699,Corrupt$
07-10-2023,AAPL,197.66,198.5,195.92,196.65,3583562,N/A
08-10-2023,AAPL,193.3,194.23,191.51,193.17,2635896,N/A
09-10-2023,AAPL,198.18,199.23,196.98,199.33,2916738,<NULL>
10-10-2023,AAPL,193.19,194.69,191.51,,3207430,Err#404
11-10-2023,AAPL,196.36,197.04,194.44,195.59,2456678,N/A
12-10-2023,AAPL,194.71,196.64,193.79,194.86,2832127,Valid
13-10-2023,AAPL,195.01,196.81,193.92,194.9,3125090,N/A
14-10-2023,AAPL,196.55,197.91,194.65,195.17,2426252,Corrupt$
15-10-2023,AAPL,193.16,194.67,192.15,191.78,2574278,Corrupt$
16-10-2023,AAPL,197.05,197.58,195.18,195.7,2518852,<NULL>
17-10-2023,AAPL,196.62,197.63,194.65,199.1,2645265,Valid
18-10-2023,AAPL,192.75,194.45,191.26,193.61,4834165,Valid
19-10-2023,AAPL,193.78,194.4,192.05,193.19,1580701,Valid
20-10-2023,AAPL,193.73,194.65,192.11,194.84,1778343,N/A
21-10-2023,AAPL,191.84,193.22,190.29,191.27,3532115,N/A
22-10-2023,AAPL,191.3,192.18,190.34,192.37,1190778,??Unknown??
23-10-2023,AAPL,193.51,195.41,192.92,193.59,4544064,Missing!
24-10-2023,AAPL,194.6,195.3,193.58,193.94,678157,<NULL>
25-10-2023,AAPL,192.69,194.39,191.19,193.37,2253897,Missing!
26-10-2023,AAPL,195.77,197.04,195.12,195.91,2850959,Err#404
27-10-2023,AAPL,191.58,193.21,191.06,191.98,4328973,N/A
28-10-2023,AAPL,193.08,194.04,192.37,193.29,1111709,??Unknown??
29-10-2023,AAPL,191.9,193.17,190.32,192.1,1729959,??Unknown??
30-10-2023,AAPL,199.19,200.98,197.23,199.99,3843867,Corrupt$
31-10-2023,AAPL,195.51,196.71,193.53,198.09,4456092,N/A
01-11-2023,AAPL,194.88,195.92,193.64,196.13,3142800,??Unknown??
02-11-2023,AAPL,195.63,196.93,193.83,195.85,2158332,Corrupt$
03-11-2023,AAPL,196.7,198.28,195.1,196.39,4951441,Err#404
04-11-2023,AAPL,199.72,200.88,198.46,,1849651,Corrupt$
05-11-2023,AAPL,197.33,199.24,195.98,196.08,1271279,Err#404
06-11-2023,AAPL,194.17,195.12,193.47,194.84,4574999,Missing!
07-11-2023,AAPL,191.75,192.97,189.85,190.74,1163431,Missing!
08-11-2023,AAPL,191.76,193.4,190.73,191.39,1077701,Valid
09-11-2023,AAPL,193.6,195.13,192.43,194.27,2088404,Valid
10-11-2023,AAPL,192.69,194.49,191.18,192.45,2305148,<NULL>
11-11-2023,AAPL,188.34,190.34,187.34,187.85,752515,Corrupt$
12-11-2023,AAPL,190.7,191.85,189.82,189.51,4392825,<NULL>
13-11-2023,AAPL,193.45,194.12,192.01,194.66,3371083,Valid
14-11-2023,AAPL,192.48,193.02,191.94,191.64,1109723,N/A
15-11-2023,AAPL,196.53,198.12,194.95,195.94,783126,Corrupt$
16-11-2023,AAPL,193.05,194.86,191.78,191.26,3144046,??Unknown??
17-11-2023,AAPL,192.84,193.67,191.43,192.82,2476230,N/A
18-11-2023,AAPL,193.27,194.01,191.83,192.94,4649161,<NULL>
19-11-2023,AAPL,188.13,188.72,186.84,188.31,3879595,Corrupt$
20-11-2023,AAPL,190.09,191.82,188.72,,4263302,<NULL>
21-11-2023,AAPL,194.73,195.7,193.21,195.47,1426097,Missing!
22-11-2023,AAPL,191.09,192.2,189.46,189.25,2483438,Err#404
23-11-2023,AAPL,193.93,195.19,192.34,193.84,883609,<NULL>
24-11-2023,AAPL,195.38,197.14,193.57,195.49,3605003,Valid
25-11-2023,AAPL,193.35,194.83,192.57,193.41,2363082,Valid
26-11-2023,AAPL,196.75,198.17,195.65,196.91,3010963,Valid
27-11-2023,AAPL,189.71,190.47,187.79,190.5,2253313,Corrupt$
28-11-2023,AAPL,194.46,195.73,193.37,195.79,2886149,N/A
29-11-2023,AAPL,192.3,193.87,191.61,192.14,3981591,Err#404
30-11-2023,AAPL,194.55,196.51,193.26,193.58,2748885,Valid
01-12-2023,AAPL,188.06,188.86,187.39,188.62,3303005,N/A
02-12-2023,AAPL,192.81,193.33,192.01,192.53,1786353,<NULL>
03-12-2023,AAPL,190.06,190.67,188.06,191.32,2764719,??Unknown??
04-12-2023,AAPL,189.36,190.42,188.04,188.75,3545471,Missing!
05-12-2023,AAPL,189.24,190.97,188.31,188.38,3544221,??Unknown??
06-12-2023,AAPL,184.97,185.48,182.98,185.11,4626553,Err#404
07-12-2023,AAPL,189.78,190.97,187.83,188.04,3704181,Valid
08-12-2023,AAPL,185.74,186.73,184.58,185.27,2161342,??Unknown??
09-12-2023,AAPL,191.63,192.2,190.73,191.3,1319593,Missing!
10-12-2023,AAPL,185.58,186.76,183.83,185.8,3832791,N/A
11-12-2023,AAPL,189.81,190.69,188.24,188.81,2973592,N/A
12-12-2023,AAPL,189.23,190.25,187.7,188.35,3416933,??Unknown??
13-12-2023,AAPL,191.44,193,189.6,192.6,1516783,<NULL>
14-12-2023,AAPL,193.83,195.11,192.29,193.81,4406997,<NULL>
15-12-2023,AAPL,190.42,191.11,189.5,191.29,3770421,Valid
16-12-2023,AAPL,191.05,192.99,189.51,190.51,2426663,Missing!
17-12-2023,AAPL,191.84,193.3,190.88,191.79,1285786,Err#404
18-12-2023,AAPL,188.13,189.78,186.49,188.35,2927667,Valid
19-12-2023,AAPL,186.11,186.73,184.68,187.86,4540013,Corrupt$
20-12-2023,AAPL,181.2,181.78,180.59,180.99,1063889,??Unknown??
21-12-2023,AAPL,189.7,190.23,188.43,189.53,777834,Corrupt$
22-12-2023,AAPL,183.86,184.65,182.85,184.96,4394325,??Unknown??
23-12-2023,AAPL,181.19,182.31,180.2,180.81,2238667,Err#404
24-12-2023,AAPL,180.49,182.39,179.09,180.77,3787281,Valid
25-12-2023,AAPL,180.05,181.23,179.06,181.06,3744998,Missing!
26-12-2023,AAPL,184.64,185.58,182.98,184.07,4498585,<NULL>
27-12-2023,AAPL,185.99,187.33,185.38,186.33,3316112,<NULL>
28-12-2023,AAPL,184.86,185.53,183.37,186.6,2232141,Valid
29-12-2023,AAPL,182.39,183.81,180.68,183.32,4783191,??Unknown??
30-12-2023,AAPL,182.85,184.2,181.34,183.13,1335544,<NULL>
31-12-2023,AAPL,183.54,185.23,182.29,183.31,2739164,N/A
01-01-2023,GOOGL,183.14,183.99,181.17,183.62,1656928,Corrupt$
02-01-2023,GOOGL,177.12,178.92,175.23,176.24,3741695,Missing!
03-01-2023,GOOGL,184.2,184.75,182.36,183.01,712628,Missing!
04-01-2023,GOOGL,183.21,185.08,181.61,181.93,4806193,<NULL>
05-01-2023,GOOGL,183.7,184.38,182.65,,4675553,Valid
06-01-2023,GOOGL,178.91,180.38,178.25,178.38,4956367,Valid
07-01-2023,GOOGL,182.9,183.77,181.36,182.46,3606754,??Unknown??
08-01-2023,GOOGL,182.85,184.6,180.88,182.18,3691833,N/A
09-01-2023,GOOGL,183.49,184.76,181.9,183.17,4827261,Corrupt$
10-01-2023,GOOGL,183.82,184.52,181.92,184.19,3572475,N/A
