Date,Open,High,Low,Close,Volume,Market_Status
2023-03-09,91.0,92.54,89.2,90.98,3388939,Valid
2023-03-10,92.68,93.76,90.91,92.38,4486280,Corrupt
2023-03-11,93.6,94.78,91.73,94.4,2544940,Valid
2023-03-12,92.02,92.87,91.14,90.4,2599409,Error
2023-03-13,95.21,96.27,93.58,94.16,3672382,N/A
2023-03-14,89.77,90.61,88.58,88.7,4381857,Valid
2023-03-15,90.13,90.74,88.37,91.08,791464,Valid
2023-03-16,90.83,92.24,89.24,92.54,3173829,Unknown
2023-03-17,92.66,94.16,90.99,,618581,Error
2023-03-18,92.44,93.87,90.96,92.28,4352256,N/A
2023-03-19,87.37,88.57,86.61,87.45,838540,Valid
2023-03-20,93.16,94.23,91.84,94.32,1001590,Valid
2023-03-21,86.59,88.38,84.61,85.66,1918412,N/A
2023-03-22,91.03,92.3,89.12,,3860492,Error
2023-03-23,90.52,91.74,89.96,91.5,2130369,Unknown
2023-03-24,91.28,91.81,90.53,91.78,1372328,Valid
2023-03-25,90.36,91.37,89.66,90.55,3610691,Unknown
2023-03-26,89.29,90.37,87.71,90.3,1858097,Corrupt
2023-03-27,88.27,89.37,86.54,85.57,3800354,Error
2023-03-28,92.97,94.34,92.15,93.65,1794315,Corrupt
2023-03-29,90.04,91.34,88.78,89.39,3075508,Corrupt
2023-03-30,91.68,93.1,89.92,89.85,2876219,Corrupt
2023-03-31,91.11,92.76,89.51,91.62,1858311,Error
2023-04-01,89.1,90.82,87.79,90.47,1789467,Error
2023-04-02,93.37,94.95,91.98,93.23,664074,N/A
2023-04-03,91.7,93.63,90.44,92.65,3070466,Unknown
2023-04-04,89.67,90.2,88.73,91.29,4155180,Unknown
2023-04-05,87.91,88.7,86.56,89.22,4983120,N/A
2023-04-06,94.67,95.18,93.14,96.31,1290645,N/A
2023-04-07,91.23,92.71,89.42,91.98,3787093,Corrupt
2023-04-08,87.92,89.77,86.47,88.0,1517481,N/A
2023-04-09,89.86,90.72,88.22,,4094804,Valid
2023-04-10,89.11,91.0,88.37,88.86,562507,Unknown
2023-04-11,86.41,87.0,85.22,,1605710,N/A
2023-04-12,88.09,89.99,87.58,90.26,2838377,Valid
2023-04-13,87.95,88.97,87.08,,4887373,Valid
2023-04-14,84.81,85.46,83.22,,1306564,Valid
2023-04-15,85.29,86.52,83.3,85.84,4418949,Valid
2023-04-16,86.56,87.45,85.91,86.6,2109473,Corrupt
2023-04-17,85.71,86.64,84.61,87.41,2211952,Valid
2023-04-18,84.91,85.87,83.21,84.29,1237954,Corrupt
2023-04-19,92.91,94.62,92.11,93.11,3408056,Corrupt
2023-04-20,92.2,93.51,90.86,91.45,1207173,Valid
2023-04-21,86.65,87.62,85.06,85.33,1179447,Unknown
2023-04-22,89.0,90.42,87.58,88.39,1561404,Valid
2023-04-23,86.74,88.31,85.95,86.7,3480248,Valid
2023-04-24,96.24,97.15,95.21,95.81,3113987,Valid
2023-04-25,91.91,93.03,90.24,,3253913,Unknown
2023-04-26,90.04,90.73,88.71,,3035232,Error
2023-04-27,88.15,88.92,87.64,,2878907,Error
2023-04-28,87.85,89.37,86.21,86.34,3329915,Corrupt
2023-04-29,89.52,90.29,88.96,90.28,2863162,Corrupt
2023-04-30,88.46,89.74,86.84,88.54,1415113,Unknown
2023-05-01,87.82,89.39,87.02,86.37,3192794,N/A
2023-05-02,88.53,89.19,86.6,88.22,2711549,Error
2023-05-03,88.98,90.33,87.93,88.23,2845704,Corrupt
2023-05-04,94.95,95.83,93.96,95.26,923332,Error
2023-05-05,94.15,96.1,93.43,95.49,792575,Unknown
2023-05-06,92.57,93.8,91.61,90.7,1959700,Unknown
2023-05-07,94.3,96.01,92.48,94.41,529336,N/A
2023-05-08,92.23,93.55,90.23,92.07,3701078,N/A
2023-05-09,89.43,89.99,88.38,90.1,2142425,Unknown
2023-05-10,94.88,96.33,93.71,,3107622,Corrupt
2023-05-11,90.93,92.86,89.35,90.18,2386963,Error
2023-05-12,86.13,87.53,84.3,85.81,3272605,Valid
2023-05-13,89.82,91.55,88.43,,1947947,N/A
2023-05-14,89.17,91.0,88.09,90.25,4676426,Valid
2023-05-15,84.83,85.67,83.71,84.85,4356756,Corrupt
2023-05-16,91.22,92.04,89.68,,1998339,N/A
2023-05-17,93.08,94.5,92.58,93.02,1176296,Valid
2023-05-18,86.19,87.31,84.76,85.48,879039,Corrupt
2023-05-19,91.25,93.01,90.22,,1028714,Error
2023-05-20,88.94,90.79,87.25,87.14,3411190,Corrupt
2023-05-21,87.31,88.34,86.67,85.73,1052439,N/A
2023-05-22,87.79,88.64,86.41,88.05,4642535,Unknown
2023-05-23,85.06,86.73,83.83,85.56,773452,Error
2023-05-24,87.71,88.63,86.25,,1278883,Valid
2023-05-25,86.91,88.65,86.32,87.81,4871047,N/A
2023-05-26,91.72,92.86,90.35,91.24,2689921,Unknown
2023-05-27,87.53,89.04,86.19,87.68,3698156,Corrupt
2023-05-28,86.58,87.22,85.24,88.19,1262371,Unknown
2023-05-29,85.52,86.96,84.12,86.42,3757945,N/A
2023-05-30,87.69,88.86,86.17,87.42,4268950,N/A
2023-05-31,91.94,93.32,90.23,91.05,642980,Unknown
2023-06-01,88.72,89.47,87.81,86.57,2934003,Corrupt
2023-06-02,85.12,86.73,83.39,84.4,757354,Unknown
2023-06-03,89.04,90.84,87.8,88.83,3706943,N/A
2023-06-04,90.28,91.1,89.66,89.29,2417160,N/A
2023-06-05,85.89,86.53,85.3,85.76,3815258,Valid
2023-06-06,90.92,91.45,89.91,90.99,4871545,Valid
2023-06-07,88.03,89.5,86.36,87.81,2735883,Error
2023-06-08,90.26,91.67,88.7,89.61,3050982,N/A
2023-06-09,88.77,90.09,87.08,88.93,1264265,Valid
2023-06-10,85.42,86.27,84.14,85.86,808617,Unknown
2023-06-11,86.25,87.33,85.09,85.16,3480346,Corrupt
2023-06-12,91.32,92.71,90.6,92.73,1244748,Unknown
2023-06-13,91.02,92.27,90.03,90.92,4136562,Corrupt
2023-06-14,89.87,91.85,88.72,89.89,2554410,Valid
2023-06-15,92.64,93.34,92.0,93.34,2977748,Error
2023-06-16,88.04,89.58,87.21,88.28,1234275,Unknown
2023-06-17,93.44,94.55,92.05,94.4,1797819,Unknown
2023-06-18,91.97,93.11,90.36,92.26,1534186,Unknown
2023-06-19,90.31,91.89,88.31,89.7,1098506,Corrupt
2023-06-20,92.0,93.54,90.1,92.37,1056718,Valid
2023-06-21,88.61,90.6,87.15,,2096853,Unknown
2023-06-22,89.91,90.6,88.78,,852414,Unknown
2023-06-23,94.28,94.94,92.83,,3463944,Error
2023-06-24,90.3,91.89,88.62,90.09,2847693,Error
2023-06-25,93.81,95.18,93.13,93.68,3263545,Valid
2023-06-26,88.49,89.4,87.37,86.6,4016144,Valid
2023-06-27,95.36,95.98,93.61,94.82,4448401,N/A
2023-06-28,96.82,97.45,95.75,96.92,624932,Error
2023-06-29,93.23,95.08,91.88,93.39,768083,N/A
2023-06-30,94.74,95.53,93.36,,2251498,Corrupt
2023-07-01,97.16,98.14,96.38,98.42,4377809,N/A
2023-07-02,94.56,95.4,93.51,93.69,2058426,Unknown
2023-07-03,97.51,98.55,96.51,98.48,3730431,N/A
2023-07-04,93.67,94.27,93.13,94.1,3092316,Valid
2023-07-05,96.14,97.42,95.6,95.49,789220,Corrupt
2023-07-06,96.45,97.06,94.71,98.23,4476765,Unknown
2023-07-07,98.61,100.31,97.7,,1895285,N/A
2023-07-08,95.3,96.15,94.02,96.22,3422705,Corrupt
2023-07-09,94.59,95.9,93.65,,3164749,Corrupt
2023-07-10,93.53,95.35,91.62,92.86,4499453,Unknown
2023-07-11,92.13,93.61,91.24,93.52,1906978,N/A
2023-07-12,93.62,94.92,92.47,93.37,3421989,Corrupt
2023-07-13,93.19,94.18,91.38,93.48,1484156,Corrupt
2023-07-14,93.63,94.63,91.87,93.89,4213543,Error
2023-07-15,92.72,94.22,91.94,92.58,1363659,Corrupt
2023-07-16,96.37,98.36,94.66,97.18,2737035,Error
2023-07-17,95.05,96.54,93.86,95.84,1703920,N/A
2023-07-18,93.9,95.24,92.68,92.15,3608591,N/A
2023-07-19,94.18,95.78,93.48,95.49,4110954,N/A
2023-07-20,90.83,92.03,90.21,89.17,1247852,Valid
2023-07-21,90.57,91.16,88.98,91.6,1656618,N/A
2023-07-22,90.38,91.73,89.14,91.51,4411147,Corrupt
2023-07-23,88.96,90.9,87.81,87.87,1607810,Unknown
2023-07-24,93.26,94.02,91.67,92.85,1312283,Error
2023-07-25,92.12,93.66,90.47,91.01,3414863,Valid
2023-07-26,95.43,96.23,94.69,95.22,2321367,N/A
2023-07-27,94.98,96.28,93.56,94.67,3872863,N/A
2023-07-28,93.94,94.58,93.23,94.71,3399033,Unknown
2023-07-29,99.08,100.25,97.45,100.39,2078315,Unknown
2023-07-30,92.85,94.48,91.37,94.25,1849590,Valid
2023-07-31,101.03,102.05,99.1,,4004438,Error
2023-08-01,102.83,104.33,102.23,102.63,3545529,N/A
2023-08-02,98.24,99.93,97.65,96.55,2725541,Valid
2023-08-03,105.11,107.0,104.19,104.31,3311139,Corrupt
2023-08-04,101.34,102.2,100.45,102.31,1969793,Corrupt
2023-08-05,98.61,99.71,97.74,100.22,4990512,Valid
2023-08-06,101.3,102.03,99.44,100.07,3397706,N/A
2023-08-07,104.74,106.73,103.86,104.15,3701473,Valid
2023-08-08,100.93,102.82,100.02,100.91,1598657,N/A
2023-08-09,102.89,104.2,101.26,103.17,1426215,Unknown
2023-08-10,100.21,101.97,99.03,,3533449,Valid
2023-08-11,98.51,99.79,96.84,98.93,1949991,N/A
2023-08-12,102.95,104.39,102.35,102.48,3011910,Valid
2023-08-13,97.58,98.21,96.35,97.56,924528,Valid
2023-08-14,101.72,103.36,101.17,102.27,3035610,N/A
2023-08-15,99.91,100.61,99.32,99.92,3215223,N/A
2023-08-16,100.86,102.6,99.0,100.43,1112181,Error
2023-08-17,99.97,101.64,99.26,99.86,4145525,Valid
2023-08-18,101.94,103.5,100.64,101.85,2150824,Corrupt
2023-08-19,98.31,98.86,97.19,97.94,639227,Valid
2023-08-20,99.69,100.64,98.67,99.43,2273055,Valid
2023-08-21,97.18,98.08,95.33,,1192137,N/A
2023-08-22,98.11,99.15,97.58,98.67,781854,Valid
2023-08-23,101.1,101.73,99.61,100.81,1160327,Valid
2023-08-24,104.03,105.93,102.08,104.72,2157153,Corrupt
2023-08-25,96.53,97.86,95.19,96.19,4845398,N/A
2023-08-26,102.77,103.73,100.87,103.95,1985255,Valid
2023-08-27,101.24,102.34,100.66,101.61,4656004,Unknown
2023-08-28,98.82,99.99,97.69,98.71,2306684,Error
2023-08-29,102.51,103.91,101.62,,2309858,Corrupt
2023-08-30,96.29,97.56,94.69,94.72,979083,Valid
2023-08-31,97.37,99.25,95.4,96.25,1894316,Unknown
2023-09-01,95.68,96.92,94.79,94.48,2401740,Valid
2023-09-02,101.23,103.22,99.75,101.38,4762627,Valid
2023-09-03,97.77,99.55,96.97,99.5,2795936,N/A
2023-09-04,97.31,98.13,95.97,99.54,4801400,N/A
2023-09-05,95.36,97.26,94.16,96.0,3207184,N/A
2023-09-06,95.15,95.83,93.2,95.66,3412066,Unknown
2023-09-07,105.05,106.77,103.63,,4270771,Valid
2023-09-08,99.18,100.25,98.15,98.63,2040724,Error
2023-09-09,99.7,101.51,99.02,,2465730,Corrupt
2023-09-10,101.66,103.46,100.93,,4820614,N/A
2023-09-11,103.12,104.83,102.28,,4583290,N/A
2023-09-12,101.13,102.82,100.25,100.66,1175673,Valid
2023-09-13,97.46,98.42,95.69,95.48,4562224,Valid
2023-09-14,103.92,104.54,102.57,,2388529,Unknown
2023-09-15,105.4,106.51,104.12,104.33,1594316,Unknown
2023-09-16,103.68,104.44,103.0,103.91,4800915,N/A
2023-09-17,105.19,106.74,103.4,107.27,2136675,Valid
2023-09-18,100.24,101.26,98.65,99.32,1206673,Error
2023-09-19,96.97,98.94,96.37,94.44,1301849,Corrupt
2023-09-20,97.25,98.71,95.69,96.97,2228665,Valid
2023-09-21,96.16,97.89,94.84,97.26,1661068,Valid
2023-09-22,97.66,98.36,97.04,,1535891,Unknown
2023-09-23,91.56,93.35,90.37,90.33,1253494,Corrupt
2023-09-24,101.72,103.6,100.49,102.21,923177,N/A
2023-09-25,95.75,96.99,95.01,95.29,1142762,Valid
2023-09-26,93.56,94.97,91.65,93.46,1267876,N/A
2023-09-27,93.67,95.32,91.89,96.31,4204697,Valid
2023-09-28,94.65,95.41,93.15,93.15,1706184,N/A
2023-09-29,97.7,98.95,96.5,97.95,2260511,Corrupt
2023-09-30,96.5,97.59,95.38,96.96,4041815,Unknown
2023-10-01,93.07,93.79,91.6,94.16,546002,Corrupt
2023-10-02,93.43,94.48,92.11,,1215339,Error
2023-10-03,95.5,96.1,94.91,95.81,4639289,Unknown
2023-10-04,100.21,100.75,98.94,99.82,2284006,Corrupt
2023-10-05,95.49,96.2,93.79,95.76,1128889,Error
2023-10-06,93.49,95.44,92.3,,2867108,Valid
2023-10-07,94.04,95.36,93.46,94.66,4344886,Valid
2023-10-08,95.95,97.9,94.27,95.58,1425779,N/A
2023-10-09,90.64,91.79,89.84,91.02,3029832,Unknown
2023-10-10,99.39,100.36,98.5,99.36,3819151,Valid
2023-10-11,95.04,96.3,94.29,96.16,725391,Unknown
2023-10-12,101.45,102.61,100.45,101.4,691387,Valid
2023-10-13,100.26,100.92,98.63,98.49,4132632,N/A
2023-10-14,97.82,99.28,96.54,99.08,3284067,Corrupt
2023-10-15,95.78,96.61,94.98,94.88,1874073,N/A
2023-10-16,94.55,95.98,92.74,93.9,3035394,Error
2023-10-17,102.03,103.51,100.21,,4872352,Valid
2023-10-18,96.9,97.62,95.09,98.27,1924663,Error
2023-10-19,95.22,95.81,94.36,93.08,2969146,Error
2023-10-20,95.1,96.77,93.92,98.24,3791070,Unknown
2023-10-21,98.56,99.75,96.58,99.62,1186268,Valid
2023-10-22,97.82,98.41,96.16,98.04,1301955,Error
2023-10-23,94.98,96.97,94.43,94.92,1611009,Corrupt
2023-10-24,95.53,96.12,94.93,95.82,2513148,Error
2023-10-25,96.95,98.49,95.75,97.47,4967223,Corrupt
2023-10-26,97.23,99.21,95.37,97.88,2019593,Unknown
2023-10-27,95.89,96.75,94.58,96.44,2944291,Error
2023-10-28,97.46,98.18,96.22,97.55,647745,N/A
2023-10-29,94.77,95.45,94.11,,4292824,Unknown
2023-10-30,101.1,102.06,99.62,,2230992,Corrupt
2023-10-31,93.65,94.3,91.92,93.45,637686,Unknown
2023-11-01,99.98,101.52,98.91,101.12,2567636,Error
2023-11-02,102.47,103.06,100.8,103.06,4651923,Valid
2023-11-03,94.31,95.57,92.36,91.37,2483044,Valid
2023-11-04,96.94,98.93,96.13,97.59,4424221,Corrupt
2023-11-05,99.12,100.84,97.83,99.31,3814344,Corrupt
2023-11-06,97.66,99.09,96.73,,549976,Valid
2023-11-07,99.34,100.3,97.65,98.95,3022620,Corrupt
2023-11-08,97.63,99.07,96.27,98.76,2863128,Unknown
2023-11-09,105.72,107.01,104.27,106.67,3867611,N/A
2023-11-10,103.78,104.92,102.09,103.01,4905813,N/A
2023-11-11,105.63,106.32,104.53,106.03,4142693,Unknown
2023-11-12,105.6,107.43,103.73,104.63,2527320,N/A
2023-11-13,102.35,103.53,101.05,100.97,2312105,Error
2023-11-14,101.02,101.82,100.29,100.4,2447238,Unknown
2023-11-15,106.43,107.48,104.89,107.29,1895796,Corrupt
2023-11-16,102.78,103.9,101.09,103.73,4061262,Unknown
2023-11-17,104.74,106.48,103.77,105.25,708859,Valid
2023-11-18,104.45,106.05,102.67,105.18,4527902,Corrupt
2023-11-19,103.46,105.12,101.6,103.98,545475,Valid
2023-11-20,107.49,108.01,106.58,106.85,3803364,Corrupt
2023-11-21,105.14,106.27,103.17,105.57,3739254,N/A
2023-11-22,102.2,103.42,101.49,103.0,1599577,Unknown
2023-11-23,107.04,107.57,106.24,107.8,1344081,Error
2023-11-24,104.55,105.44,103.77,,4195727,Corrupt
2023-11-25,107.94,109.58,106.1,108.65,2102970,Corrupt
2023-11-26,107.61,108.31,106.13,107.96,2031064,Valid
2023-11-27,106.93,108.24,106.2,108.0,4911887,N/A
2023-11-28,103.69,104.51,102.53,,727189,Valid
2023-11-29,104.6,105.12,103.18,103.72,2576198,Valid
2023-11-30,105.39,106.25,104.76,105.23,1968919,N/A
2023-12-01,105.52,107.49,103.7,104.78,3781941,Error
2023-12-02,103.94,105.65,102.24,103.27,3150324,Valid
2023-12-03,106.09,108.03,104.83,105.94,3910580,Valid
2023-12-04,104.71,105.95,102.76,,4185104,Corrupt
2023-12-05,102.09,102.76,100.96,101.78,1920858,N/A
2023-12-06,102.04,103.37,100.07,100.15,2248982,Unknown
2023-12-07,105.15,106.34,103.65,105.37,1945065,Error
2023-12-08,102.15,103.92,100.7,,578077,Error
2023-12-09,108.06,108.71,107.32,107.25,2141232,N/A
2023-12-10,98.52,99.76,96.7,99.18,4945818,Corrupt
2023-12-11,107.89,108.61,106.75,108.83,4595077,Corrupt
2023-12-12,103.66,104.65,102.92,,1284192,N/A
2023-12-13,100.53,102.14,100.01,99.77,1420114,Corrupt
2023-12-14,99.36,100.57,98.02,98.59,1101891,Error
2023-12-15,102.46,103.52,101.17,101.52,4029921,Error
2023-12-16,100.72,101.81,99.14,101.55,2682926,Unknown
2023-12-17,102.11,103.3,100.28,101.92,2985670,N/A
2023-12-18,101.61,103.29,100.99,101.35,3844250,Valid
2023-12-19,102.57,104.41,100.97,100.56,3866085,Valid
2023-12-20,103.78,105.71,103.0,104.41,4523278,Unknown
2023-12-21,102.68,104.36,100.89,101.44,1037977,Unknown
2023-12-22,102.45,103.43,100.72,102.51,2499014,Corrupt
2023-12-23,99.0,100.53,97.69,99.28,4203292,Unknown
2023-12-24,98.64,99.8,97.08,100.0,2058141,Unknown
2023-12-25,102.65,103.53,101.68,101.34,4168280,Valid
2023-12-26,100.74,102.5,99.53,,3223408,Corrupt
2023-12-27,100.68,101.23,98.94,100.86,2348058,Unknown
2023-12-28,102.65,104.5,101.46,104.45,2659173,Unknown
2023-12-29,103.96,105.15,102.92,105.2,542291,Corrupt
2023-12-30,101.91,103.37,100.67,,4997968,N/A
2023-12-31,102.81,104.3,101.06,,2622827,Corrupt
